"minute","case_a","case_b","demand_kW","generation_kW","grid_available","a_grid_kW","a_unserved_kW","a_discharge_kW","a_charge_kW","a_curtailed_kW","a_gridLimited_kW","a_gridUnavailable_kW","a_stored_kWh","b_grid_kW","b_unserved_kW","b_discharge_kW","b_charge_kW","b_curtailed_kW","b_gridLimited_kW","b_gridUnavailable_kW","b_stored_kWh","change_grid_kW","change_unserved_kW","change_discharge_kW","change_charge_kW","change_curtailed_kW","change_gridLimited_kW","change_gridUnavailable_kW","change_stored_kWh","microgrid_version","comparison_version","case_a_settings_json","case_b_settings_json"
124,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
125,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
126,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
127,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
128,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
129,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
130,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
131,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
132,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
133,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
134,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
135,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
136,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
137,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
138,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
139,"baseline","4:release",3.75,592.6983992293208,"false",0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,588.9483992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
